#{"t_start": 1619374959.5355217, "env_id": null}
r,l,t
0.0,1409,5618.230868
0.0,1409,5630.146211
-0.0,1409,5641.830709
0.0,1409,5653.259746
0.0,1409,5664.887332
0.0,1409,5676.593155
0.0,1409,5689.038602
0.0,1409,5700.606949
0.0,1409,5712.247561
0.0,1409,5723.724698
0.0,1409,5735.601003
0.0,1409,5747.225076
0.0,1409,5759.303468
0.0,1409,5770.93884
0.0,1409,5783.398456
0.0,1409,5795.40605
0.0,1409,5806.996675
0.0,1409,5818.876905
0.0,1409,5830.658078
0.0,1409,5842.182759
0.0,1409,5854.176909
-0.0,1409,5865.742316
0.0,1409,5877.258783
0.0,1409,5889.023183
0.0,1409,5901.938362
0.0,1409,5913.522592
0.0,1409,5925.412233
0.0,1409,5939.139056
0.0,1409,5954.737725
0.0,1409,5966.235038
0.0,1409,5978.310186
0.0,1409,5990.026395
0.0,1409,6001.706969
0.0,1409,6013.167304
0.0,1409,6025.439194
0.0,1409,6037.652386
0.0,1409,6221.20349
0.0,1409,6233.13239
0.0,1409,6244.613211
0.0,1409,6256.090255
0.0,1409,6267.585988
0.0,1409,6279.828709
0.0,1409,6292.140886
0.0,1409,6304.031188
0.0,1409,6316.706082
0.0,1409,6328.495236
0.0,1409,6341.355221
0.0,1409,6353.713269
0.0,1409,6365.58091
0.0,1409,6377.283407
0.0,1409,6390.26477
0.0,1409,6403.064467
0.0,1409,6415.427703
0.0,1409,6427.157014
0.0,1409,6437.844268
0.0,1409,6449.160837
0.0,1409,6460.127972
0.0,1409,6472.148936
0.0,1409,6483.824332
0.0,1409,6494.860223
0.0,1409,6505.738916
0.0,1409,6517.080817
0.0,1409,6528.314147
0.0,1409,6538.945802
0.0,1409,6550.018155
0.0,1409,6560.592597
0.0,1409,6571.030779
0.0,1409,6581.451163
0.0,1409,6591.699909
0.0,1409,6603.12743
0.0,1409,6613.621052
